district_id,district,cctv_count
1,종로구, 149 
2,중구, 441 
3,용산구, 405 
4,성동구, 443 
5,광진구, 96 
6,동대문, 229 
7,중랑구, 304 
8,성북구, 274 
9,강북구, 105 
10,도봉구, 115 
11,노원구, 160 
12,은평구, 376 
13,서대문, 421 
14,마포구, 146 
15,양천구, 198 
16,강서구, 164 
17,구로구, 493 
18,금천구, 241 
19,영등포, 613 
20,동작구, 324 
21,관악구, 221 
22,서초구, 1237
23,강남구, 891 
24,송파구, 439 
25,강동구, 154 
